document,label
9월백신출시~~현실이 되면 좋겠네요~~,0
영국이 대단한게 자국백신도 계약하고 다른니라 제약회사도 선제적으로 계약하고 있다. 우리나란 뭐하냐? 또 국산화에 미쳐서 아무것도 안하겠지? 훅간다.,1
WHO말은 이제 신뢰할수 없어,0
옥스퍼드대랑 벡시텤이라는 회사 합작품인데 진매트릭스가 벡시텍 지분6프로 가지고잇다,1
와우 과거와같은생활 마스크없는생활 현실이겠죠^^,1
문재인 변호사는 중국 백신 기다리고 계약하는거 아닌지 모르겠네요,1
백신성공 축하합니다. 그백신 우한폐렴 퍼트린 중국에는 절대로 팔지 마세요~,1
제발 누구라도 빨리 만들었으면 좋겠다 ㅠ 정말 사는게 아닌거 같다,1
"결국은 기술력이다. 생존은 기술에 따라 달린 것이다. 단기적으로 전염병을 막는 백신을 개발하거나, 장기적으로 환경 보호를 위한 공해 저감 장치를 개발하거나. 기술 발전을 위해서 현 2030세대가 기술직에 분포되어야 할텐데, 4050세대의 삽질로 2030세대는 안정된 공무원이 되고자 하며 능력을 펼치지 못한다. 향후 기술력이 도태된 인구 소국은 또 다른 의미의, 다른 나라의 식민지로 전락하고 말 것이다. 슬프다.",0
한국의 빈수레는 요란하다. 문재앙 닮아서,1
영국도 반중이니까 친중좌파놈들은 처맞지말고 중국백신나올때까지기다리다 그거처맞어라,1
조현병 문 : 어? 이러문 내가 모가돼 훠훠훠,1
WHO 말이라서 못믿겠다,0
역시옥스포드,1
영국 없으면 아직도 소 끌고 다니며 밭이나 갈고 잇겟지 ㅋ,1
빨리 만들자 그리고 끝내자,0
미국이 빨리 정상화 되서 중공이 ㅈ됐으면 좋겠다.,1
우리나라에선 하고나 있나요? 그냥 집값자느니 어쩌고 저쩌고~~~~ㅉㅉ,1
중공폭격 들어가자,0
진매트릭스 대박나것네,1
문신발 투척 good!!,0
이래서 사람들이 모더나 주식을 내던지는구나....,1
너무 반가운 소식입니다! 코로나 이전의 자유롭게 여행하던 삶으로 너무나 돌아가고 싶습니다ㅠ 기다립니다~~~~,0
코로나 터지고 백신 말만 많음...배포되고나서 말하자,0
셀트리온 정신나간 넘들,1
백신이 개발된다 한들 올해 안에 상용화가 가능할지... 부작용 문제가 없었음 좋겠다,1
문재앙 진단키트 콜센타는 문닫았냐? 요새 조용하노?,1
"유클립투스 오일의 코점막 살균효과, 유산균의 유해균살균 효과, 쑥연기의 공기살균효과 그리고 손소독과 마스크..... 이런것이 우리집 방역수단...",1
코로나 백신 조만간 나오겠네요,0
백신장사꾼 빌 게이츠가 가만히 보고 있을까? 글고 COVID19는 계속 변이한다더만...,0
주식시장에서 SK케미칼 차트 잘 보세요.,0
전 세계가 백신개발을 위해 노력하고 있네요. 우리나라도 하루 빨리 백신이 개발되었으면 좋겠어요. 일상으로 돌아갈 수 있는 그날을 기다립니다.,1
북한보다 느리네ㅎ,0
한국의 제약. 바이오사 시끄럽기나 했지.백신. 치료제는 별거 없나보네.,1
중국 놈들 뭘 만들다 샌 것이더냐?,0
제발 누구든 성공하길~~,0
임상실험 100퍼센트? 설마 진짜일까?,0
셀트리온 개망이네..,0
셀트리온은 머하고 있나,1
파미셀에 뉴클레오시드와 관련이 돼있는걸로 아는데 맞는지요? 누가 대답좀 부탁드려요 뉴클레오시드 세계점유율 80퍼센트,1
